Nº do item;Descrição do item;Unidade de medida de compra;Grupo de itens;;;;;;
00007;ACAI PETRUZ GUA27 SR CPCA 5KG CX;CX;P.A. SORBET;;;;;;
00008;ACAI PETRUZ GUA27 SR CPCA 10KG CX;CX;P.A. SORBET;;;;;;
00018;ACAI PETRUZ MOR27 SR CPCA 10KG CX;CX;P.A. SORBET;;;;;;
00027;ACAI PETRUZ BAN27 SR CPCA 5KG CX;CX;P.A. SORBET;;;;;;
00028;ACAI PETRUZ BAN27 SR CPCA 10KG CX;CX;P.A. SORBET;;;;;;
00037;ACAI A3 CLA25 SR CPCA 100G;UN;PRODUTO ELABORACAO;;;;;;
00057;CUPUACU ACAI BERRY SOF31 SR CNSA 5KG;UN;PRODUTO ELABORACAO;;;;;;
00059;ACAI ROOTS CLA12 SR OPCA 180KG TB EX;TB;P.A. ACAI EXPORT;;;;;;
00060;ACAI ROOTS CLA12 SR OPCA 100G;UND;PRODUTO ELABORACAO;;;;;;
00063;ACAI GUARANA ROOTS CLA18 SR OPCA 100G;UND;PRODUTO ELABORACAO;;;;;;
00065;ACAI GUARANA ROOTS CLA18 SR OPCA 400G CX16 EX;CX;P.A. B MISTA EXPORT;;;;;;
00066;ACAI TAMBOR ACAI PRE14 SR OPCA 100G;UND;PRODUTO ELABORACAO;;;;;;
00068;ACAI TAMBOR ACAI PRE14 SR OPCA 400G CX15 EX;CX;P.A. ACAI EXPORT;;;;;;
00069;ACAI GUARANA TAMBOR ACAI PRE20 SR OPCA 100G;UND;PRODUTO ELABORACAO;;;;;;
00072;ACAI GUARANA TAMBOR ACAI PRE20 SR OPCA 100G CX60 EX;CX;P.A. B MISTA EXPORT;;;;;;
00083;ACAI REBAR CLA12 SR CPCA 100G;UN;PRODUTO ELABORACAO;;;;;;
00085;ACAI REBAR CLA12 SR CPCA 400G CX16 EX;CX;P.A. ACAI EXPORT;;;;;;
00102;ACAI AHC PRE14 SR OPSA 100G;UN;PRODUTO ELABORACAO;;;;;;
00108;ACAI FFC PRE14 SR OPSA 100G;UND;PRODUTO ELABORACAO;;;;;;
00111;ACAI AMAZON PLANET CLA12 SR OPSA 100G;UND;PRODUTO ELABORACAO;;;;;;
00117;ACAI ATASTE CLA12 SR CPCA 100G;UND;PRODUTO ELABORACAO;;;;;;
00119;ACAI ATASTE CLA12 SR CPCA 400G CX8 EX;CX;P.A. ACAI EXPORT;;;;;;
00124;ACAI AMAZONIA PTY CLA10 SR OPCA 100G;UND;PRODUTO ELABORACAO;;;;;;
00127;ACAI GUARANA AMAZONIA PTY CLA16 SR OPCA 100G;UND;PRODUTO ELABORACAO;;;;;;
00130;ACAI AMAZONIA PTY CLA10 SR OPCA 100G CX60 EX;CX;P.A. ACAI EXPORT;;;;;;
00131;ACAI GUARANA AMAZONIA PTY CLA16 SR OPCA 100G CX60 EX;CX;P.A. B MISTA EXPORT;;;;;;
00132;ACAI PETRUZ PRE14 SR OPCA 18KG BD;BD;P.A. ACAI;;;;;;
00134;ACAI GUARANA PETRUZ PRE20 SR OPCA 18KG BD;BD;P.A. BEBIDA MISTA;;;;;;
00139;ACAI PETRUZ CLA12 SR OPCA 180KG TB EX;TB;P.A. ACAI EXPORT;;;;;;
00144;ACAI GUARANA PETRUZ CLA18 SR OPCA 100G;UND;PRODUTO ELABORACAO;;;;;;
00145;ACAI GUARANA PETRUZ CLA18 SR OPCA 400G;UN;PRODUTO ELABORACAO;;;;;;
00146;ACAI GUARANA PETRUZ CLA18 SR OPCA 400G CX15;CX;P.A. BEBIDA MISTA;;;;;;
00158;ACAI ADOCADO TROPICAL MARIA CLA22 SR CPSA 100G;UND;PRODUTO ELABORACAO;;;;;;
00160;ACAI ADOCADO TROPICAL MARIA CLA22 SR CPSA 500G CX20 EX;CX;P.A. B MISTA EXPORT;;;;;;
00161;ACAI SAO PEDRO PRE14 SR CNSA 1,02KG;KG;PRODUTO ELABORACAO;;;;;;
00162;ACAI SAO PEDRO PRE14 SR CNSA 1,02KG SC40;SC;P.A. ACAI;;;;;;
00163;ACAI SAO PEDRO PRE14 SR CNSA 100G;UND;PRODUTO ELABORACAO;;;;;;
00168;ACAI SAO PEDRO PRE14 SR CNSA 500G SC40;SC;P.A. ACAI;;;;;;
00202;ACAI SAO PEDRO CLA12 SR CNSA 18KG BD;BD;P.A. ACAI;;;;;;
00203;ACAI SAO PEDRO CLA12 SR CNSA 1,02KG;KG;PRODUTO ELABORACAO;;;;;;
00204;ACAI SAO PEDRO CLA12 SR CNSA 1,02KG SC40;SC;P.A. ACAI;;;;;;
